2023-06-15 00:03:16 result: , param:10000-111:-1715.2900000000000
2023-06-15 00:03:18 result: , param:10000-111:-1715.2900000000000
2023-06-15 00:03:20 result: , param:10000-111:-1715.2900000000000
2023-06-15 00:03:22 result: , param:10000-111:-1715.2900000000000
2023-06-15 00:03:24 result: , param:10000-111:-1715.2900000000000
2023-06-15 00:03:26 result: , param:10000-111:-1715.2900000000000
2023-06-15 00:03:28 result: , param:10000-111:-1717.2900000000000
2023-06-15 00:03:30 result: , param:10000-111:-1721.2700000000000
2023-06-15 00:03:32 result: , param:10000-111:-1721.2700000000000
2023-06-15 00:03:34 result: , param:10000-111:-1721.2700000000000
2023-06-15 00:03:36 result: , param:10000-111:-1721.2900000000000
2023-06-15 00:03:38 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:40 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:42 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:03:44 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:03:46 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:03:48 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:50 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:52 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:54 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:56 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:03:58 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:01 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:03 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:05 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:07 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:09 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:11 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:13 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:15 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:17 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:04:19 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:21 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:23 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:25 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:27 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:29 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:31 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:33 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:35 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:37 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:39 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:04:41 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:43 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:45 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:47 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:49 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:51 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:53 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:55 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:57 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:04:59 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:05:01 result: , param:10000-111:-1724.1100000000000
2023-06-15 00:05:03 result: , param:10000-111:-1723.1100000000000
2023-06-15 00:05:05 result: , param:10000-111:-1723.1100000000000
2023-06-15 00:05:07 result: , param:10000-111:-1723.1100000000000
2023-06-15 00:05:09 result: , param:10000-111:-1723.1100000000000
2023-06-15 00:05:11 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:13 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:15 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:17 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:19 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:21 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:23 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:25 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:27 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:29 result: , param:10000-111:-1720.9700000000000
2023-06-15 00:05:31 result: , param:10000-111:-1722.5700000000000
2023-06-15 00:05:33 result: , param:10000-111:-1722.5700000000000
