2023-08-11 00:00:01 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:04 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:06 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:08 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:10 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:12 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:14 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:16 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:18 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:20 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:22 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:24 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:26 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:28 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:30 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:32 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:34 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:36 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:38 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:40 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:42 result: , param:5000-111:-1058.0400000000000
2023-08-11 00:00:44 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:46 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:48 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:50 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:52 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:54 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:56 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:00:58 result: , param:5000-111:-1058.0500000000000
2023-08-11 00:01:00 result: , param:5000-111:-1058.3000000000000
2023-08-11 00:01:02 result: , param:5000-111:-1059.1300000000000
2023-08-11 00:01:04 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:06 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:08 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:10 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:12 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:14 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:16 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:18 result: , param:5000-111:-1063.4200000000000
2023-08-11 00:01:20 result: , param:5000-111:-1063.4100000000000
2023-08-11 00:01:22 result: , param:5000-111:-1063.4100000000000
