2023-08-12 00:00:01 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:35 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:37 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:39 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:41 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:43 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:45 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:47 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:01:49 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:01:51 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:01:53 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:01:55 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:01:57 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:01:59 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:02:01 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:02:03 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:02:05 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:02:07 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:02:09 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:02:11 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:13 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:15 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:17 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:19 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:21 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:23 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:25 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:27 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:29 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:31 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:33 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:35 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:37 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:39 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:41 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:43 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:45 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:47 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:49 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:51 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:53 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:55 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:57 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:02:59 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:01 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:03 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:05 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:07 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:09 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:11 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:13 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:15 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:17 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:19 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:21 result: , param:5000-111:-1086.7900000000000
2023-08-12 00:03:23 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:25 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:27 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:29 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:31 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:33 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:35 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:37 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:39 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:41 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:43 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:45 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:47 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:49 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:51 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:53 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:55 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:57 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:03:59 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:04:02 result: , param:5000-111:-1086.8000000000000
2023-08-12 00:04:04 result: , param:5000-111:-1098.0800000000000
2023-08-12 00:04:06 result: , param:5000-111:-1111.5800000000000
2023-08-12 00:04:08 result: , param:5000-111:-1111.5800000000000
2023-08-12 00:04:10 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:12 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:14 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:16 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:18 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:20 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:22 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:24 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:26 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:28 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:30 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:32 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:34 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:36 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:38 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:40 result: , param:5000-111:-1111.5700000000000
2023-08-12 00:04:42 result: , param:5000-111:-1111.5800000000000
2023-08-12 00:04:44 result: , param:5000-111:-1111.5800000000000
2023-08-12 00:04:46 result: , param:5000-111:-1111.5800000000000
2023-08-12 00:04:48 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:04:50 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:04:52 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:04:54 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:04:56 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:04:58 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:05:00 result: , param:5000-111:-1113.5500000000000
2023-08-12 00:05:02 result: , param:5000-111:-1114.7900000000000
2023-08-12 00:05:04 result: , param:5000-111:-1114.8000000000000
2023-08-12 00:05:06 result: , param:5000-111:-1114.8000000000000
2023-08-12 00:05:08 result: , param:5000-111:-1114.8000000000000
2023-08-12 00:05:10 result: , param:5000-111:-1114.8000000000000
2023-08-12 00:05:12 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:14 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:16 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:18 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:20 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:22 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:24 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:05:26 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:28 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:30 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:32 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:34 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:36 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:38 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:40 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:42 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:44 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:46 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:48 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:50 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:52 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:54 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:56 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:05:58 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:06:00 result: , param:5000-111:-1115.6900000000000
2023-08-12 00:06:02 result: , param:5000-111:-1115.0500000000000
2023-08-12 00:06:04 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:06 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:08 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:10 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:12 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:14 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:16 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:18 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:20 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:22 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:24 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:26 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:28 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:30 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:32 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:34 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:36 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:38 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:40 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:42 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:44 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:46 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:48 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:50 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:52 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:54 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:56 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:06:58 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:07:00 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:07:02 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:07:04 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:07:06 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:08 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:10 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:12 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:14 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:16 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:18 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:20 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:22 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:24 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:26 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:28 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:30 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:32 result: , param:5000-111:-1115.3100000000000
2023-08-12 00:07:34 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:07:36 result: , param:5000-111:-1115.3000000000000
2023-08-12 00:07:38 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:40 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:42 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:44 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:46 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:48 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:50 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:52 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:54 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:56 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:07:58 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:00 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:02 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:04 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:06 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:08 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:10 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:12 result: , param:5000-111:-1114.5600000000000
2023-08-12 00:08:14 result: , param:5000-111:-1114.5500000000000
2023-08-12 00:08:16 result: , param:5000-111:-1109.5500000000000
2023-08-12 00:08:18 result: , param:5000-111:-1109.5500000000000
2023-08-12 00:08:20 result: , param:5000-111:-1109.5500000000000
2023-08-12 00:08:22 result: , param:5000-111:-1109.5500000000000
2023-08-12 00:08:24 result: , param:5000-111:-1109.5500000000000
2023-08-12 00:08:26 result: , param:5000-111:-1109.5500000000000
2023-08-12 00:08:28 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:30 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:32 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:34 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:36 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:38 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:40 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:42 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:44 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:46 result: , param:5000-111:-1111.7600000000000
2023-08-12 00:08:48 result: , param:5000-111:-1110.9500000000000
2023-08-12 00:08:50 result: , param:5000-111:-1110.9500000000000
2023-08-12 00:08:52 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:08:54 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:08:56 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:08:58 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:09:00 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:09:02 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:04 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:06 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:08 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:10 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:12 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:15 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:17 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:19 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:21 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:23 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:25 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:27 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:29 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:31 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:33 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:35 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:37 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:39 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:41 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:43 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:45 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:47 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:49 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:51 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:53 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:55 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:57 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:09:59 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:01 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:03 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:05 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:07 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:09 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:11 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:13 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:15 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:17 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:19 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:21 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:23 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:25 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:27 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:29 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:31 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:33 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:35 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:37 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:39 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:41 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:43 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:45 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:47 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:49 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:51 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:53 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:55 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:10:57 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:10:59 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:01 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:03 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:05 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:07 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:09 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:11 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:13 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:15 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:17 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:19 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:21 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:23 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:25 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:27 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:29 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:31 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:33 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:35 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:37 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:39 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:41 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:43 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:45 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:47 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:49 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:51 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:53 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:55 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:11:57 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:11:59 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:01 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:03 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:05 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:07 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:09 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:11 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:13 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:15 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:17 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:19 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:21 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:23 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:25 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:27 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:29 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:31 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:33 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:35 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:37 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:12:39 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:41 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:43 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:45 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:47 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:49 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:51 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:53 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:55 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:57 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:12:59 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:01 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:03 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:05 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:07 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:09 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:11 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:13 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:15 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:17 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:19 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:21 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:23 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:25 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:27 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:29 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:31 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:33 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:35 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:37 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:39 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:41 result: , param:5000-111:-1111.1600000000000
2023-08-12 00:13:43 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:45 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:47 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:49 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:51 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:53 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:55 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:57 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:13:59 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:14:01 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:14:03 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:14:05 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:14:07 result: , param:5000-111:-1111.1500000000000
2023-08-12 00:14:09 result: , param:5000-111:-1111.1500000000000
