2023-06-24 00:00:00 result: , param:15068.59-111:1387.6000000000000
2023-06-24 00:00:05 result: , param:15068.59-111:1447.7000000000000
2023-06-24 00:00:07 result: , param:15068.59-111:1467.7000000000000
2023-06-24 00:00:09 result: , param:15068.59-111:1487.6000000000000
2023-06-24 00:00:11 result: , param:15068.59-111:1487.6000000000000
2023-06-24 00:00:13 result: , param:15068.59-111:1484.3000000000000
2023-06-24 00:00:15 result: , param:15068.59-111:1431.9000000000000
2023-06-24 00:00:17 result: , param:15068.59-111:1373.3000000000000
2023-06-24 00:00:19 result: , param:15068.59-111:1307.7000000000000
2023-06-24 00:00:21 result: , param:15068.59-111:1307.8000000000000
2023-06-24 00:00:23 result: , param:15068.59-111:1277.7000000000000
2023-06-24 00:00:25 result: , param:15068.59-111:1277.7000000000000
2023-06-24 00:00:27 result: , param:15068.59-111:1277.8000000000000
2023-06-24 00:00:29 result: , param:15068.59-111:1277.8000000000000
2023-06-24 00:00:31 result: , param:15068.59-111:1184.6000000000000
2023-06-24 00:00:33 result: , param:15068.59-111:1184.6000000000000
2023-06-24 00:00:35 result: , param:15068.59-111:1184.6000000000000
2023-06-24 00:00:37 result: , param:15068.59-111:1184.6000000000000
2023-06-24 00:00:39 result: , param:15068.59-111:1134.1000000000000
2023-06-24 00:00:41 result: , param:15068.59-111:1273.3000000000000
2023-06-24 00:00:43 result: , param:15068.59-111:1299.6000000000000
2023-06-24 00:00:45 result: , param:15068.59-111:1299.6000000000000
2023-06-24 00:00:47 result: , param:15068.59-111:1282.7000000000000
2023-06-24 00:00:49 result: , param:15068.59-111:1320.0000000000000
2023-06-24 00:00:51 result: , param:15068.59-111:1194.9000000000000
2023-06-24 00:00:53 result: , param:15068.59-111:1194.9000000000000
2023-06-24 00:00:55 result: , param:15068.59-111:1194.9000000000000
2023-06-24 00:00:57 result: , param:15068.59-111:1167.3000000000000
2023-06-24 00:00:59 result: , param:15068.59-111:1167.3000000000000
2023-06-24 00:01:01 result: , param:15068.59-111:1237.2000000000000
2023-06-24 00:01:03 result: , param:15068.59-111:1237.2000000000000
2023-06-24 00:01:05 result: , param:15068.59-111:1237.2000000000000
2023-06-24 00:01:07 result: , param:15068.59-111:1220.3000000000000
2023-06-24 00:01:09 result: , param:15068.59-111:1307.6000000000000
2023-06-24 00:01:11 result: , param:15068.59-111:1307.6000000000000
2023-06-24 00:01:13 result: , param:15068.59-111:1288.0000000000000
2023-06-24 00:01:16 result: , param:15068.59-111:1287.9000000000000
2023-06-24 00:01:18 result: , param:15068.59-111:1287.9000000000000
2023-06-24 00:01:20 result: , param:15068.59-111:1287.9000000000000
2023-06-24 00:01:22 result: , param:15068.59-111:1367.6000000000000
2023-06-24 00:01:24 result: , param:15068.59-111:1367.6000000000000
2023-06-24 00:01:26 result: , param:15068.59-111:1367.7000000000000
2023-06-24 00:01:28 result: , param:15068.59-111:1367.7000000000000
2023-06-24 00:01:30 result: , param:15068.59-111:1367.7000000000000
2023-06-24 00:01:32 result: , param:15068.59-111:1323.7000000000000
2023-06-24 00:01:34 result: , param:15068.59-111:1323.7000000000000
