2023-07-01 00:00:01 result: , param:15068.59-111:-464.3000000000000
2023-07-01 00:00:05 result: , param:15068.59-111:-464.3000000000000
2023-07-01 00:00:07 result: , param:15068.59-111:-453.5000000000000
2023-07-01 00:00:09 result: , param:15068.59-111:-328.1000000000000
2023-07-01 00:00:11 result: , param:15068.59-111:-364.5000000000000
2023-07-01 00:00:13 result: , param:15068.59-111:-463.1000000000000
2023-07-01 00:00:15 result: , param:15068.59-111:-463.1000000000000
2023-07-01 00:00:17 result: , param:15068.59-111:-474.0000000000000
2023-07-01 00:00:19 result: , param:15068.59-111:-474.0000000000000
2023-07-01 00:00:21 result: , param:15068.59-111:-474.0000000000000
2023-07-01 00:00:23 result: , param:15068.59-111:-491.4000000000000
2023-07-01 00:00:25 result: , param:15068.59-111:-491.4000000000000
2023-07-01 00:00:27 result: , param:15068.59-111:-397.4000000000000
2023-07-01 00:00:29 result: , param:15068.59-111:-397.5000000000000
2023-07-01 00:00:31 result: , param:15068.59-111:-397.5000000000000
2023-07-01 00:00:33 result: , param:15068.59-111:-397.5000000000000
2023-07-01 00:00:36 result: , param:15068.59-111:-397.5000000000000
2023-07-01 00:00:38 result: , param:15068.59-111:-516.2000000000000
2023-07-01 00:00:40 result: , param:15068.59-111:-516.2000000000000
2023-07-01 00:00:42 result: , param:15068.59-111:-592.9000000000000
2023-07-01 00:00:44 result: , param:15068.59-111:-592.9000000000000
2023-07-01 00:00:46 result: , param:15068.59-111:-632.9000000000000
2023-07-01 00:00:48 result: , param:15068.59-111:-632.8000000000000
2023-07-01 00:00:50 result: , param:15068.59-111:-632.8000000000000
2023-07-01 00:00:52 result: , param:15068.59-111:-632.8000000000000
2023-07-01 00:00:54 result: , param:15068.59-111:-632.8000000000000
2023-07-01 00:00:56 result: , param:15068.59-111:-604.0000000000000
2023-07-01 00:00:58 result: , param:15068.59-111:-604.1000000000000
2023-07-01 00:01:00 result: , param:15068.59-111:-604.1000000000000
2023-07-01 00:01:02 result: , param:15068.59-111:-604.1000000000000
2023-07-01 00:01:04 result: , param:15068.59-111:-680.0000000000000
2023-07-01 00:01:06 result: , param:15068.59-111:-680.1000000000000
