2023-06-27 00:00:00 result: , param:15068.59-111:2502.0000000000000
2023-06-27 00:00:04 result: , param:15068.59-111:2499.5000000000000
2023-06-27 00:00:06 result: , param:15068.59-111:2499.5000000000000
2023-06-27 00:00:08 result: , param:15068.59-111:2499.5000000000000
2023-06-27 00:00:10 result: , param:15068.59-111:2499.5000000000000
2023-06-27 00:00:12 result: , param:15068.59-111:2446.1000000000000
2023-06-27 00:00:14 result: , param:15068.59-111:2446.1000000000000
2023-06-27 00:00:16 result: , param:15068.59-111:2446.1000000000000
2023-06-27 00:00:18 result: , param:15068.59-111:2446.1000000000000
2023-06-27 00:00:20 result: , param:15068.59-111:2446.0000000000000
2023-06-27 00:00:22 result: , param:15068.59-111:2446.0000000000000
2023-06-27 00:00:24 result: , param:15068.59-111:2446.0000000000000
2023-06-27 00:00:26 result: , param:15068.59-111:2446.0000000000000
2023-06-27 00:00:28 result: , param:15068.59-111:2459.5000000000000
2023-06-27 00:00:30 result: , param:15068.59-111:2459.5000000000000
2023-06-27 00:00:32 result: , param:15068.59-111:2459.5000000000000
2023-06-27 00:00:34 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:36 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:38 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:40 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:42 result: , param:15068.59-111:2477.7000000000000
2023-06-27 00:00:44 result: , param:15068.59-111:2477.7000000000000
2023-06-27 00:00:46 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:48 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:50 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:52 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:54 result: , param:15068.59-111:2462.7000000000000
2023-06-27 00:00:56 result: , param:15068.59-111:2452.7000000000000
2023-06-27 00:00:58 result: , param:15068.59-111:2427.7000000000000
2023-06-27 00:01:00 result: , param:15068.59-111:2422.8000000000000
2023-06-27 00:01:02 result: , param:15068.59-111:2407.7000000000000
2023-06-27 00:01:04 result: , param:15068.59-111:2407.7000000000000
2023-06-27 00:01:07 result: , param:15068.59-111:2392.7000000000000
2023-06-27 00:01:09 result: , param:15068.59-111:2377.8000000000000
2023-06-27 00:01:11 result: , param:15068.59-111:2377.7000000000000
2023-06-27 00:01:13 result: , param:15068.59-111:2377.7000000000000
2023-06-27 00:01:15 result: , param:15068.59-111:2377.7000000000000
2023-06-27 00:01:17 result: , param:15068.59-111:2377.7000000000000
2023-06-27 00:01:19 result: , param:15068.59-111:2377.7000000000000
2023-06-27 00:01:21 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:23 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:25 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:27 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:29 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:31 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:33 result: , param:15068.59-111:2352.7000000000000
2023-06-27 00:01:35 result: , param:15068.59-111:2322.7000000000000
2023-06-27 00:01:37 result: , param:15068.59-111:2322.7000000000000
2023-06-27 00:01:39 result: , param:15068.59-111:2312.7000000000000
2023-06-27 00:01:41 result: , param:15068.59-111:2312.7000000000000
2023-06-27 00:01:43 result: , param:15068.59-111:2312.7000000000000
2023-06-27 00:01:45 result: , param:15068.59-111:2312.8000000000000
2023-06-27 00:01:47 result: , param:15068.59-111:2312.8000000000000
2023-06-27 00:01:49 result: , param:15068.59-111:2312.7000000000000
2023-06-27 00:01:51 result: , param:15068.59-111:2312.7000000000000
2023-06-27 00:01:53 result: , param:15068.59-111:2295.8000000000000
2023-06-27 00:01:55 result: , param:15068.59-111:2295.8000000000000
2023-06-27 00:01:57 result: , param:15068.59-111:2295.8000000000000
2023-06-27 00:01:59 result: , param:15068.59-111:2295.8000000000000
2023-06-27 00:02:01 result: , param:15068.59-111:2167.7000000000000
2023-06-27 00:02:03 result: , param:15068.59-111:2167.7000000000000
2023-06-27 00:02:05 result: , param:15068.59-111:2032.8000000000000
2023-06-27 00:02:07 result: , param:15068.59-111:2110.3000000000000
2023-06-27 00:02:09 result: , param:15068.59-111:2110.3000000000000
2023-06-27 00:02:11 result: , param:15068.59-111:2110.3000000000000
2023-06-27 00:02:13 result: , param:15068.59-111:2116.9000000000000
2023-06-27 00:02:15 result: , param:15068.59-111:2116.9000000000000
2023-06-27 00:02:17 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:19 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:21 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:23 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:25 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:27 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:29 result: , param:15068.59-111:2142.6000000000000
2023-06-27 00:02:31 result: , param:15068.59-111:2091.4000000000000
2023-06-27 00:02:33 result: , param:15068.59-111:2032.8000000000000
2023-06-27 00:02:35 result: , param:15068.59-111:2032.8000000000000
2023-06-27 00:02:37 result: , param:15068.59-111:2027.7000000000000
2023-06-27 00:02:39 result: , param:15068.59-111:2017.7000000000000
2023-06-27 00:02:41 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:43 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:45 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:47 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:49 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:51 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:53 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:55 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:57 result: , param:15068.59-111:1992.7000000000000
2023-06-27 00:02:59 result: , param:15068.59-111:1987.7000000000000
2023-06-27 00:03:01 result: , param:15068.59-111:1987.8000000000000
2023-06-27 00:03:03 result: , param:15068.59-111:1987.8000000000000
2023-06-27 00:03:05 result: , param:15068.59-111:1996.0000000000000
2023-06-27 00:03:07 result: , param:15068.59-111:1996.0000000000000
2023-06-27 00:03:09 result: , param:15068.59-111:2122.6000000000000
2023-06-27 00:03:12 result: , param:15068.59-111:2137.4000000000000
2023-06-27 00:03:14 result: , param:15068.59-111:2152.6000000000000
2023-06-27 00:03:16 result: , param:15068.59-111:2152.7000000000000
2023-06-27 00:03:18 result: , param:15068.59-111:2152.7000000000000
2023-06-27 00:03:20 result: , param:15068.59-111:2152.6000000000000
2023-06-27 00:03:22 result: , param:15068.59-111:2101.4000000000000
2023-06-27 00:03:24 result: , param:15068.59-111:2101.4000000000000
2023-06-27 00:03:26 result: , param:15068.59-111:2101.4000000000000
2023-06-27 00:03:28 result: , param:15068.59-111:2157.6000000000000
2023-06-27 00:03:30 result: , param:15068.59-111:2157.6000000000000
2023-06-27 00:03:32 result: , param:15068.59-111:2157.6000000000000
2023-06-27 00:03:34 result: , param:15068.59-111:2157.6000000000000
