2023-06-26 00:00:00 result: , param:15068.59-111:4125.5000000000000
2023-06-26 00:00:05 result: , param:15068.59-111:3999.8000000000000
2023-06-26 00:00:07 result: , param:15068.59-111:3960.3000000000000
2023-06-26 00:00:09 result: , param:15068.59-111:4062.7000000000000
2023-06-26 00:00:11 result: , param:15068.59-111:4092.6000000000000
2023-06-26 00:00:13 result: , param:15068.59-111:3961.9000000000000
2023-06-26 00:00:15 result: , param:15068.59-111:4017.1000000000000
2023-06-26 00:00:17 result: , param:15068.59-111:4017.1000000000000
2023-06-26 00:00:19 result: , param:15068.59-111:4017.1000000000000
2023-06-26 00:00:21 result: , param:15068.59-111:4017.1000000000000
2023-06-26 00:00:23 result: , param:15068.59-111:4017.2000000000000
2023-06-26 00:00:25 result: , param:15068.59-111:4067.6000000000000
2023-06-26 00:00:27 result: , param:15068.59-111:3964.1000000000000
2023-06-26 00:00:29 result: , param:15068.59-111:4013.3000000000000
2023-06-26 00:00:31 result: , param:15068.59-111:4013.3000000000000
2023-06-26 00:00:33 result: , param:15068.59-111:4028.6000000000000
2023-06-26 00:00:35 result: , param:15068.59-111:4028.5000000000000
2023-06-26 00:00:37 result: , param:15068.59-111:3988.1000000000000
2023-06-26 00:00:39 result: , param:15068.59-111:3953.6000000000000
2023-06-26 00:00:41 result: , param:15068.59-111:3913.5000000000000
2023-06-26 00:00:43 result: , param:15068.59-111:3913.5000000000000
2023-06-26 00:00:45 result: , param:15068.59-111:3910.5000000000000
2023-06-26 00:00:47 result: , param:15068.59-111:3950.2000000000000
2023-06-26 00:00:49 result: , param:15068.59-111:3967.7000000000000
2023-06-26 00:00:51 result: , param:15068.59-111:3972.6000000000000
2023-06-26 00:00:53 result: , param:15068.59-111:3972.6000000000000
2023-06-26 00:00:55 result: , param:15068.59-111:3972.6000000000000
2023-06-26 00:00:57 result: , param:15068.59-111:3972.6000000000000
2023-06-26 00:00:59 result: , param:15068.59-111:3992.7000000000000
2023-06-26 00:01:01 result: , param:15068.59-111:3992.7000000000000
2023-06-26 00:01:03 result: , param:15068.59-111:3997.6000000000000
2023-06-26 00:01:05 result: , param:15068.59-111:3937.8000000000000
2023-06-26 00:01:07 result: , param:15068.59-111:3932.7000000000000
2023-06-26 00:01:09 result: , param:15068.59-111:3937.7000000000000
2023-06-26 00:01:11 result: , param:15068.59-111:3966.4000000000000
2023-06-26 00:01:13 result: , param:15068.59-111:3987.6000000000000
2023-06-26 00:01:15 result: , param:15068.59-111:4016.7000000000000
2023-06-26 00:01:17 result: , param:15068.59-111:4016.7000000000000
2023-06-26 00:01:19 result: , param:15068.59-111:4016.6000000000000
2023-06-26 00:01:21 result: , param:15068.59-111:3952.6000000000000
2023-06-26 00:01:23 result: , param:15068.59-111:3952.6000000000000
2023-06-26 00:01:25 result: , param:15068.59-111:3937.8000000000000
2023-06-26 00:01:27 result: , param:15068.59-111:3937.8000000000000
2023-06-26 00:01:29 result: , param:15068.59-111:3937.8000000000000
2023-06-26 00:01:31 result: , param:15068.59-111:3937.8000000000000
2023-06-26 00:01:33 result: , param:15068.59-111:3975.6000000000000
2023-06-26 00:01:35 result: , param:15068.59-111:3937.7000000000000
2023-06-26 00:01:37 result: , param:15068.59-111:3922.7000000000000
2023-06-26 00:01:39 result: , param:15068.59-111:3918.9000000000000
2023-06-26 00:01:41 result: , param:15068.59-111:3918.9000000000000
2023-06-26 00:01:43 result: , param:15068.59-111:3917.7000000000000
2023-06-26 00:01:45 result: , param:15068.59-111:3917.7000000000000
2023-06-26 00:01:47 result: , param:15068.59-111:3917.8000000000000
2023-06-26 00:01:49 result: , param:15068.59-111:3906.6000000000000
2023-06-26 00:01:51 result: , param:15068.59-111:3894.4000000000000
2023-06-26 00:01:53 result: , param:15068.59-111:3928.3000000000000
2023-06-26 00:01:55 result: , param:15068.59-111:3928.3000000000000
2023-06-26 00:01:57 result: , param:15068.59-111:3928.3000000000000
2023-06-26 00:01:59 result: , param:15068.59-111:3892.1000000000000
2023-06-26 00:02:01 result: , param:15068.59-111:3894.3000000000000
2023-06-26 00:02:04 result: , param:15068.59-111:3590.8000000000000
2023-06-26 00:02:06 result: , param:15068.59-111:3501.8000000000000
2023-06-26 00:02:08 result: , param:15068.59-111:3576.9000000000000
2023-06-26 00:02:10 result: , param:15068.59-111:3746.6000000000000
2023-06-26 00:02:12 result: , param:15068.59-111:3852.6000000000000
2023-06-26 00:02:14 result: , param:15068.59-111:3850.2000000000000
2023-06-26 00:02:16 result: , param:15068.59-111:3882.7000000000000
2023-06-26 00:02:18 result: , param:15068.59-111:3839.4000000000000
2023-06-26 00:02:20 result: , param:15068.59-111:3787.0000000000000
2023-06-26 00:02:22 result: , param:15068.59-111:3787.3000000000000
2023-06-26 00:02:24 result: , param:15068.59-111:3656.9000000000000
2023-06-26 00:02:26 result: , param:15068.59-111:3619.1000000000000
2023-06-26 00:02:28 result: , param:15068.59-111:3764.8000000000000
2023-06-26 00:02:30 result: , param:15068.59-111:3887.6000000000000
2023-06-26 00:02:32 result: , param:15068.59-111:3735.6000000000000
2023-06-26 00:02:34 result: , param:15068.59-111:3710.5000000000000
2023-06-26 00:02:36 result: , param:15068.59-111:3647.7000000000000
2023-06-26 00:02:38 result: , param:15068.59-111:3743.5000000000000
2023-06-26 00:02:40 result: , param:15068.59-111:3743.6000000000000
2023-06-26 00:02:42 result: , param:15068.59-111:3747.7000000000000
2023-06-26 00:02:44 result: , param:15068.59-111:3747.7000000000000
2023-06-26 00:02:46 result: , param:15068.59-111:3701.6000000000000
2023-06-26 00:02:48 result: , param:15068.59-111:3703.5000000000000
2023-06-26 00:02:50 result: , param:15068.59-111:3629.5000000000000
2023-06-26 00:02:53 result: , param:15068.59-111:3420.1000000000000
2023-06-26 00:02:55 result: , param:15068.59-111:3262.8000000000000
2023-06-26 00:02:57 result: , param:15068.59-111:3421.0000000000000
2023-06-26 00:02:59 result: , param:15068.59-111:3538.4000000000000
2023-06-26 00:03:01 result: , param:15068.59-111:3691.6000000000000
2023-06-26 00:03:03 result: , param:15068.59-111:3666.4000000000000
2023-06-26 00:03:05 result: , param:15068.59-111:3733.7000000000000
2023-06-26 00:03:07 result: , param:15068.59-111:3702.7000000000000
2023-06-26 00:03:09 result: , param:15068.59-111:3662.6000000000000
2023-06-26 00:03:11 result: , param:15068.59-111:3687.4000000000000
2023-06-26 00:03:13 result: , param:15068.59-111:3687.4000000000000
2023-06-26 00:03:15 result: , param:15068.59-111:3687.4000000000000
2023-06-26 00:03:17 result: , param:15068.59-111:3747.7000000000000
2023-06-26 00:03:19 result: , param:15068.59-111:3752.7000000000000
2023-06-26 00:03:21 result: , param:15068.59-111:3749.5000000000000
2023-06-26 00:03:23 result: , param:15068.59-111:3749.5000000000000
2023-06-26 00:03:25 result: , param:15068.59-111:3757.7000000000000
2023-06-26 00:03:27 result: , param:15068.59-111:3717.7000000000000
2023-06-26 00:03:29 result: , param:15068.59-111:3752.7000000000000
2023-06-26 00:03:31 result: , param:15068.59-111:3752.7000000000000
2023-06-26 00:03:33 result: , param:15068.59-111:3752.7000000000000
2023-06-26 00:03:35 result: , param:15068.59-111:3752.7000000000000
2023-06-26 00:03:37 result: , param:15068.59-111:3752.7000000000000
2023-06-26 00:03:39 result: , param:15068.59-111:3762.7000000000000
2023-06-26 00:03:41 result: , param:15068.59-111:3762.7000000000000
2023-06-26 00:03:43 result: , param:15068.59-111:3762.7000000000000
2023-06-26 00:03:45 result: , param:15068.59-111:3792.7000000000000
2023-06-26 00:03:47 result: , param:15068.59-111:3808.9000000000000
2023-06-26 00:03:49 result: , param:15068.59-111:3892.7000000000000
2023-06-26 00:03:51 result: , param:15068.59-111:3902.7000000000000
2023-06-26 00:03:53 result: , param:15068.59-111:3912.7000000000000
2023-06-26 00:03:55 result: , param:15068.59-111:3953.3000000000000
