2023-06-25 00:00:00 result: , param:15068.59-111:5527.6000000000000
2023-06-25 00:00:04 result: , param:15068.59-111:5527.7000000000000
2023-06-25 00:00:06 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:08 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:10 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:12 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:14 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:16 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:18 result: , param:15068.59-111:5525.2000000000000
2023-06-25 00:00:20 result: , param:15068.59-111:5493.9000000000000
2023-06-25 00:00:22 result: , param:15068.59-111:5509.0000000000000
2023-06-25 00:00:24 result: , param:15068.59-111:5509.0000000000000
2023-06-25 00:00:26 result: , param:15068.59-111:5509.0000000000000
2023-06-25 00:00:28 result: , param:15068.59-111:5509.0000000000000
2023-06-25 00:00:30 result: , param:15068.59-111:5463.9000000000000
2023-06-25 00:00:32 result: , param:15068.59-111:5463.9000000000000
2023-06-25 00:00:34 result: , param:15068.59-111:5463.8000000000000
2023-06-25 00:00:36 result: , param:15068.59-111:5463.8000000000000
2023-06-25 00:00:38 result: , param:15068.59-111:5439.3000000000000
2023-06-25 00:00:40 result: , param:15068.59-111:5439.3000000000000
2023-06-25 00:00:42 result: , param:15068.59-111:5439.4000000000000
2023-06-25 00:00:45 result: , param:15068.59-111:5439.4000000000000
2023-06-25 00:00:47 result: , param:15068.59-111:5439.4000000000000
2023-06-25 00:00:49 result: , param:15068.59-111:5439.4000000000000
2023-06-25 00:00:51 result: , param:15068.59-111:5454.6000000000000
2023-06-25 00:00:53 result: , param:15068.59-111:5454.6000000000000
2023-06-25 00:00:55 result: , param:15068.59-111:5454.6000000000000
2023-06-25 00:00:57 result: , param:15068.59-111:5497.2000000000000
2023-06-25 00:00:59 result: , param:15068.59-111:5497.2000000000000
2023-06-25 00:01:01 result: , param:15068.59-111:5497.2000000000000
2023-06-25 00:01:03 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:05 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:07 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:09 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:11 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:13 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:15 result: , param:15068.59-111:5497.3000000000000
2023-06-25 00:01:17 result: , param:15068.59-111:5532.6000000000000
2023-06-25 00:01:19 result: , param:15068.59-111:5532.6000000000000
2023-06-25 00:01:21 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:23 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:25 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:27 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:29 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:31 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:33 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:35 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:37 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:39 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:41 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:43 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:45 result: , param:15068.59-111:5532.7000000000000
2023-06-25 00:01:47 result: , param:15068.59-111:5572.7000000000000
2023-06-25 00:01:49 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:01:51 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:01:53 result: , param:15068.59-111:5612.7000000000000
2023-06-25 00:01:55 result: , param:15068.59-111:5612.7000000000000
2023-06-25 00:01:57 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:01:59 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:02:01 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:02:03 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:02:05 result: , param:15068.59-111:5599.1000000000000
2023-06-25 00:02:07 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:02:09 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:02:11 result: , param:15068.59-111:5599.0000000000000
2023-06-25 00:02:13 result: , param:15068.59-111:5603.4000000000000
2023-06-25 00:02:15 result: , param:15068.59-111:5603.5000000000000
2023-06-25 00:02:17 result: , param:15068.59-111:5603.4000000000000
2023-06-25 00:02:19 result: , param:15068.59-111:5603.4000000000000
2023-06-25 00:02:21 result: , param:15068.59-111:5603.4000000000000
2023-06-25 00:02:23 result: , param:15068.59-111:5603.4000000000000
2023-06-25 00:02:25 result: , param:15068.59-111:5603.4000000000000
2023-06-25 00:02:28 result: , param:15068.59-111:5576.7000000000000
2023-06-25 00:02:30 result: , param:15068.59-111:5556.7000000000000
2023-06-25 00:02:32 result: , param:15068.59-111:5535.3000000000000
2023-06-25 00:02:34 result: , param:15068.59-111:5535.3000000000000
2023-06-25 00:02:36 result: , param:15068.59-111:5535.3000000000000
2023-06-25 00:02:38 result: , param:15068.59-111:5535.3000000000000
2023-06-25 00:02:40 result: , param:15068.59-111:5535.3000000000000
2023-06-25 00:02:42 result: , param:15068.59-111:5535.3000000000000
2023-06-25 00:02:44 result: , param:15068.59-111:5556.8000000000000
2023-06-25 00:02:46 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:02:48 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:02:50 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:02:52 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:02:54 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:02:56 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:02:58 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:00 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:02 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:04 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:06 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:08 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:10 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:12 result: , param:15068.59-111:5520.3000000000000
2023-06-25 00:03:14 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:16 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:18 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:20 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:22 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:24 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:26 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:28 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:30 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:32 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:34 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:36 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:38 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:40 result: , param:15068.59-111:5539.8000000000000
2023-06-25 00:03:42 result: , param:15068.59-111:5539.9000000000000
2023-06-25 00:03:44 result: , param:15068.59-111:5539.9000000000000
2023-06-25 00:03:46 result: , param:15068.59-111:5539.9000000000000
