2023-07-02 10:09:34 result: , param:10000-111:-0.3600000000000
2023-07-02 10:09:36 result: , param:10000-111:-0.9000000000000
2023-07-02 10:09:38 result: , param:10000-111:0.3200000000000
2023-07-02 10:09:40 result: , param:10000-111:0.4800000000000
2023-07-02 10:09:42 result: , param:10000-111:0.8600000000000
2023-07-02 10:09:44 result: , param:10000-111:1.4600000000000
2023-07-02 10:09:46 result: , param:10000-111:1.2600000000000
2023-07-02 10:09:48 result: , param:10000-111:1.3600000000000
2023-07-02 10:09:50 result: , param:10000-111:1.6400000000000
2023-07-02 10:09:52 result: , param:10000-111:2.1800000000000
2023-07-02 10:09:54 result: , param:10000-111:2.1800000000000
2023-07-02 10:09:56 result: , param:10000-111:2.3400000000000
2023-07-02 10:09:58 result: , param:10000-111:2.3400000000000
2023-07-02 10:10:00 result: , param:10000-111:2.8600000000000
2023-07-02 10:10:02 result: , param:10000-111:3.0600000000000
2023-07-02 10:10:04 result: , param:10000-111:3.3600000000000
2023-07-02 10:10:06 result: , param:10000-111:3.3800000000000
2023-07-02 10:10:08 result: , param:10000-111:3.8400000000000
2023-07-02 10:10:10 result: , param:10000-111:3.6400000000000
2023-07-02 10:10:12 result: , param:10000-111:4.1600000000000
2023-07-02 10:10:14 result: , param:10000-111:4.1600000000000
2023-07-02 10:10:16 result: , param:10000-111:4.4000000000000
2023-07-02 10:10:18 result: , param:10000-111:4.5200000000000
2023-07-02 10:10:21 result: , param:10000-111:4.2400000000000
2023-07-02 10:10:23 result: , param:10000-111:4.5200000000000
2023-07-02 10:10:24 result: , param:10000-111:4.8200000000000
2023-07-02 10:10:26 result: , param:10000-111:4.8800000000000
2023-07-02 10:10:29 result: , param:10000-111:4.8800000000000
2023-07-02 10:10:31 result: , param:10000-111:5.1200000000000
2023-07-02 10:10:33 result: , param:10000-111:5.2400000000000
2023-07-02 10:10:35 result: , param:10000-111:5.3400000000000
2023-07-02 10:10:37 result: , param:10000-111:5.3800000000000
2023-07-02 10:10:39 result: , param:10000-111:5.4400000000000
2023-07-02 10:10:41 result: , param:10000-111:5.5200000000000
2023-07-02 10:10:43 result: , param:10000-111:5.5400000000000
2023-07-02 10:10:45 result: , param:10000-111:5.7600000000000
2023-07-02 10:10:47 result: , param:10000-111:5.7600000000000
2023-07-02 10:10:49 result: , param:10000-111:5.6600000000000
2023-07-02 10:10:51 result: , param:10000-111:5.7400000000000
2023-07-02 10:10:53 result: , param:10000-111:5.9000000000000
2023-07-02 10:10:55 result: , param:10000-111:5.9800000000000
2023-07-02 10:10:57 result: , param:10000-111:6.1000000000000
2023-07-02 10:10:59 result: , param:10000-111:6.1800000000000
2023-07-02 10:11:01 result: , param:10000-111:6.2800000000000
2023-07-02 10:11:03 result: , param:10000-111:6.2800000000000
2023-07-02 10:11:05 result: , param:10000-111:6.2800000000000
2023-07-02 10:11:07 result: , param:10000-111:6.2800000000000
2023-07-02 10:11:09 result: , param:10000-111:6.3800000000000
2023-07-02 10:11:11 result: , param:10000-111:6.5000000000000
2023-07-02 10:11:13 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:15 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:17 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:19 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:21 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:23 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:25 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:27 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:29 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:31 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:33 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:35 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:37 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:39 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:41 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:43 result: , param:10000-111:6.6000000000000
2023-07-02 10:11:45 result: , param:10000-111:6.6000000000000
