2023-07-08 00:00:01 result: , param:10000-111:-673.2000000000000
2023-07-08 00:00:01 result: , param:10000-111:-230.7900000000000
2023-07-08 00:00:05 result: , param:10000-111:-680.6000000000000
2023-07-08 00:00:05 result: , param:10000-111:-230.4100000000000
2023-07-08 00:00:07 result: , param:10000-111:-694.6800000000000
2023-07-08 00:00:07 result: , param:10000-111:-230.4100000000000
2023-07-08 00:00:09 result: , param:10000-111:-694.6800000000000
2023-07-08 00:00:09 result: , param:10000-111:-230.4100000000000
2023-07-08 00:00:11 result: , param:10000-111:-694.6800000000000
2023-07-08 00:00:11 result: , param:10000-111:-230.9700000000000
2023-07-08 00:00:13 result: , param:10000-111:-694.6800000000000
2023-07-08 00:00:13 result: , param:10000-111:-231.1100000000000
2023-07-08 00:00:15 result: , param:10000-111:-682.7600000000000
2023-07-08 00:00:15 result: , param:10000-111:-231.1100000000000
2023-07-08 00:00:17 result: , param:10000-111:-675.4000000000000
2023-07-08 00:00:17 result: , param:10000-111:-231.1100000000000
2023-07-08 00:00:19 result: , param:10000-111:-672.2000000000000
2023-07-08 00:00:19 result: , param:10000-111:-231.1100000000000
2023-07-08 00:00:21 result: , param:10000-111:-667.7000000000000
2023-07-08 00:00:21 result: , param:10000-111:-231.1100000000000
2023-07-08 00:00:23 result: , param:10000-111:-643.1400000000000
2023-07-08 00:00:23 result: , param:10000-111:-230.0300000000000
2023-07-08 00:00:25 result: , param:10000-111:-648.0200000000000
2023-07-08 00:00:25 result: , param:10000-111:-230.0300000000000
2023-07-08 00:00:27 result: , param:10000-111:-652.3600000000000
2023-07-08 00:00:27 result: , param:10000-111:-230.0300000000000
2023-07-08 00:00:29 result: , param:10000-111:-660.7200000000000
2023-07-08 00:00:29 result: , param:10000-111:-229.9500000000000
2023-07-08 00:00:31 result: , param:10000-111:-671.1800000000000
2023-07-08 00:00:31 result: , param:10000-111:-230.5300000000000
2023-07-08 00:00:33 result: , param:10000-111:-674.2000000000000
2023-07-08 00:00:33 result: , param:10000-111:-230.9300000000000
2023-07-08 00:00:35 result: , param:10000-111:-680.1800000000000
2023-07-08 00:00:35 result: , param:10000-111:-230.9300000000000
2023-07-08 00:00:37 result: , param:10000-111:-680.1800000000000
2023-07-08 00:00:37 result: , param:10000-111:-230.9300000000000
