2023-07-03 06:43:20 result: , param:5000-111:-0.5000000000000
2023-07-03 06:43:22 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:24 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:26 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:28 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:30 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:32 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:34 result: , param:5000-111:-0.1800000000000
2023-07-03 06:43:36 result: , param:5000-111:-0.0500000000000
2023-07-03 06:43:38 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:40 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:42 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:44 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:46 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:48 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:50 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:52 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:54 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:56 result: , param:5000-111:0.3400000000000
2023-07-03 06:43:58 result: , param:5000-111:0.3400000000000
2023-07-03 06:44:00 result: , param:5000-111:0.3400000000000
2023-07-03 06:44:02 result: , param:5000-111:0.4500000000000
2023-07-03 06:44:04 result: , param:5000-111:0.4500000000000
2023-07-03 06:44:06 result: , param:5000-111:0.4500000000000
2023-07-03 06:44:08 result: , param:5000-111:0.4500000000000
2023-07-03 06:44:10 result: , param:5000-111:0.4500000000000
2023-07-03 06:44:12 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:14 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:16 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:18 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:20 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:22 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:24 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:27 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:29 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:31 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:33 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:35 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:37 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:39 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:41 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:43 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:45 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:47 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:49 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:51 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:53 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:55 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:57 result: , param:5000-111:0.6700000000000
2023-07-03 06:44:59 result: , param:5000-111:0.6700000000000
2023-07-03 06:45:01 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:03 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:05 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:07 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:09 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:11 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:13 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:15 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:17 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:19 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:21 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:23 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:25 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:27 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:29 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:31 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:33 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:35 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:37 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:39 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:41 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:43 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:45 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:47 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:49 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:51 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:53 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:55 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:57 result: , param:5000-111:20.9000300000000
2023-07-03 06:45:59 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:01 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:03 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:05 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:07 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:09 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:11 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:13 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:15 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:17 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:19 result: , param:5000-111:20.9000300000000
2023-07-03 06:46:21 result: , param:5000-111:20.9100300000000
2023-07-03 06:46:23 result: , param:5000-111:20.9100300000000
2023-07-03 06:46:25 result: , param:5000-111:20.9100300000000
2023-07-03 06:46:27 result: , param:5000-111:20.9100300000000
2023-07-03 06:46:29 result: , param:5000-111:20.5600300000000
2023-07-03 06:46:31 result: , param:5000-111:20.5600300000000
2023-07-03 06:46:34 result: , param:5000-111:20.2800300000000
