2023-06-14 00:19:51 result: , param:50000-111:-0.5000000000000
2023-06-14 00:19:53 result: , param:50000-111:-0.5000000000000
2023-06-14 00:19:55 result: , param:50000-111:-0.5000000000000
2023-06-14 00:19:57 result: , param:50000-111:-0.5000000000000
2023-06-14 00:19:59 result: , param:50000-111:-0.5000000000000
2023-06-14 00:20:01 result: , param:50000-111:-0.5000000000000
2023-06-14 00:20:03 result: , param:50000-111:30.2000000000000
2023-06-14 00:20:05 result: , param:50000-111:30.2000000000000
2023-06-14 00:20:07 result: , param:50000-111:30.2000000000000
2023-06-14 00:20:09 result: , param:50000-111:30.2000000000000
2023-06-14 00:20:11 result: , param:50000-111:30.2000000000000
2023-06-14 00:20:13 result: , param:50000-111:30.2000000000000
2023-06-14 00:20:15 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:17 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:19 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:21 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:23 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:25 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:27 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:29 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:31 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:33 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:35 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:37 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:39 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:41 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:43 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:45 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:47 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:49 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:51 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:53 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:55 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:57 result: , param:50000-111:30.3000000000000
2023-06-14 00:20:59 result: , param:50000-111:30.3000000000000
2023-06-14 00:21:02 result: , param:50000-111:30.2000000000000
2023-06-14 00:21:04 result: , param:50000-111:30.2000000000000
2023-06-14 00:21:06 result: , param:50000-111:30.2000000000000
2023-06-14 00:21:08 result: , param:50000-111:30.2000000000000
2023-06-14 00:21:10 result: , param:50000-111:30.2000000000000
2023-06-14 00:21:12 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:14 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:16 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:18 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:20 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:22 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:24 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:26 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:28 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:30 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:32 result: , param:50000-111:-0.4000000000000
2023-06-14 00:21:34 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:36 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:38 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:40 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:42 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:44 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:46 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:48 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:50 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:52 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:54 result: , param:50000-111:-0.2000000000000
2023-06-14 00:21:56 result: , param:50000-111:27.9000000000000
2023-06-14 00:21:58 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:00 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:02 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:04 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:06 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:08 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:10 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:12 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:14 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:16 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:18 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:20 result: , param:50000-111:27.8000000000000
2023-06-14 00:22:23 result: , param:50000-111:39.3000000000000
2023-06-14 00:22:25 result: , param:50000-111:39.3000000000000
2023-06-14 00:22:27 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:29 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:31 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:33 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:35 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:37 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:39 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:41 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:43 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:45 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:47 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:49 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:51 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:53 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:55 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:57 result: , param:50000-111:39.6000000000000
2023-06-14 00:22:59 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:01 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:03 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:05 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:07 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:09 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:11 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:13 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:15 result: , param:50000-111:39.6000000000000
2023-06-14 00:23:17 result: , param:50000-111:39.6000000000000
