2023-06-22 03:56:25 result: , param:5000-111:-0.5000000000000
2023-06-22 03:56:27 result: , param:5000-111:56.0000000000000
2023-06-22 03:56:29 result: , param:5000-111:56.0000000000000
2023-06-22 03:56:31 result: , param:5000-111:26.2000000000000
2023-06-22 03:56:33 result: , param:5000-111:26.2000000000000
2023-06-22 03:56:35 result: , param:5000-111:56.0000000000000
2023-06-22 03:56:37 result: , param:5000-111:55.9000000000000
2023-06-22 03:56:39 result: , param:5000-111:26.2000000000000
2023-06-22 03:56:41 result: , param:5000-111:60.5000000000000
2023-06-22 03:56:43 result: , param:5000-111:60.5000000000000
2023-06-22 03:56:45 result: , param:5000-111:40.2000000000000
2023-06-22 03:56:47 result: , param:5000-111:40.2000000000000
2023-06-22 03:56:49 result: , param:5000-111:40.2000000000000
2023-06-22 03:56:51 result: , param:5000-111:40.2000000000000
2023-06-22 03:56:53 result: , param:5000-111:40.2000000000000
2023-06-22 03:56:55 result: , param:5000-111:26.2000000000000
2023-06-22 03:56:57 result: , param:5000-111:26.2000000000000
2023-06-22 03:56:59 result: , param:5000-111:26.2000000000000
2023-06-22 03:57:01 result: , param:5000-111:26.2000000000000
2023-06-22 03:57:04 result: , param:5000-111:26.2000000000000
2023-06-22 03:57:06 result: , param:5000-111:26.2000000000000
2023-06-22 03:57:08 result: , param:5000-111:-21.7000000000000
2023-06-22 03:57:10 result: , param:5000-111:-21.7000000000000
2023-06-22 03:57:12 result: , param:5000-111:-9.7000000000000
2023-06-22 03:57:14 result: , param:5000-111:19.6000000000000
2023-06-22 03:57:16 result: , param:5000-111:19.6000000000000
2023-06-22 03:57:18 result: , param:5000-111:19.6000000000000
2023-06-22 03:57:20 result: , param:5000-111:19.6000000000000
2023-06-22 03:57:22 result: , param:5000-111:19.6000000000000
2023-06-22 03:57:24 result: , param:5000-111:19.6000000000000
2023-06-22 03:57:26 result: , param:5000-111:42.4000000000000
2023-06-22 03:57:28 result: , param:5000-111:95.5000000000000
2023-06-22 03:57:30 result: , param:5000-111:95.5000000000000
2023-06-22 03:57:32 result: , param:5000-111:95.5000000000000
2023-06-22 03:57:34 result: , param:5000-111:115.4000000000000
2023-06-22 03:57:36 result: , param:5000-111:115.4000000000000
2023-06-22 03:57:38 result: , param:5000-111:115.4000000000000
2023-06-22 03:57:40 result: , param:5000-111:106.6000000000000
2023-06-22 03:57:42 result: , param:5000-111:106.6000000000000
2023-06-22 03:57:44 result: , param:5000-111:66.5000000000000
2023-06-22 03:57:46 result: , param:5000-111:66.5000000000000
2023-06-22 03:57:48 result: , param:5000-111:66.6000000000000
2023-06-22 03:57:50 result: , param:5000-111:38.9000000000000
2023-06-22 03:57:52 result: , param:5000-111:66.5000000000000
2023-06-22 03:57:54 result: , param:5000-111:66.5000000000000
2023-06-22 03:57:56 result: , param:5000-111:66.5000000000000
2023-06-22 03:57:58 result: , param:5000-111:66.5000000000000
2023-06-22 03:58:00 result: , param:5000-111:66.5000000000000
2023-06-22 03:58:02 result: , param:5000-111:38.7000000000000
2023-06-22 03:58:04 result: , param:5000-111:38.7000000000000
2023-06-22 03:58:06 result: , param:5000-111:38.8000000000000
2023-06-22 03:58:08 result: , param:5000-111:0.1000000000000
2023-06-22 03:58:10 result: , param:5000-111:0.1000000000000
2023-06-22 03:58:12 result: , param:5000-111:0.1000000000000
2023-06-22 03:58:14 result: , param:5000-111:0.0000000000000
2023-06-22 03:58:16 result: , param:5000-111:0.0000000000000
2023-06-22 03:58:18 result: , param:5000-111:0.0000000000000
2023-06-22 03:58:20 result: , param:5000-111:0.0000000000000
2023-06-22 03:58:22 result: , param:5000-111:0.0000000000000
2023-06-22 03:58:24 result: , param:5000-111:0.1000000000000
2023-06-22 03:58:26 result: , param:5000-111:-57.4000000000000
2023-06-22 03:58:28 result: , param:5000-111:-57.3000000000000
2023-06-22 03:58:30 result: , param:5000-111:-57.3000000000000
2023-06-22 03:58:32 result: , param:5000-111:-124.0000000000000
2023-06-22 03:58:34 result: , param:5000-111:-183.4000000000000
2023-06-22 03:58:36 result: , param:5000-111:-250.5000000000000
2023-06-22 03:58:38 result: , param:5000-111:-250.5000000000000
2023-06-22 03:58:40 result: , param:5000-111:-246.2000000000000
2023-06-22 03:58:42 result: , param:5000-111:-249.1000000000000
2023-06-22 03:58:44 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:46 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:49 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:51 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:53 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:55 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:57 result: , param:5000-111:-249.0000000000000
2023-06-22 03:58:59 result: , param:5000-111:-249.0000000000000
