2023-07-12 16:54:32 result: , param:5000-111:-0.0500000000000
2023-07-12 16:54:34 result: , param:5000-111:11.7200000000000
2023-07-12 16:54:36 result: , param:5000-111:11.7200000000000
2023-07-12 16:54:38 result: , param:5000-111:11.7100000000000
2023-07-12 16:54:40 result: , param:5000-111:-0.1100000000000
2023-07-12 16:54:42 result: , param:5000-111:-0.1000000000000
2023-07-12 16:54:44 result: , param:5000-111:-0.1000000000000
2023-07-12 16:54:46 result: , param:5000-111:2.0300000000000
2023-07-12 16:54:48 result: , param:5000-111:2.0300000000000
2023-07-12 16:54:50 result: , param:5000-111:2.0300000000000
2023-07-12 16:54:52 result: , param:5000-111:2.0300000000000
2023-07-12 16:54:54 result: , param:5000-111:-5.2300000000000
2023-07-12 16:54:56 result: , param:5000-111:-10.2100000000000
2023-07-12 16:54:58 result: , param:5000-111:-16.2100000000000
2023-07-12 16:55:00 result: , param:5000-111:-16.2100000000000
2023-07-12 16:55:02 result: , param:5000-111:-16.2100000000000
2023-07-12 16:55:04 result: , param:5000-111:-17.3800000000000
2023-07-12 16:55:06 result: , param:5000-111:-23.5500000000000
2023-07-12 16:55:08 result: , param:5000-111:-23.5500000000000
2023-07-12 16:55:10 result: , param:5000-111:-26.5400000000000
2023-07-12 16:55:12 result: , param:5000-111:-23.4900000000000
2023-07-12 16:55:14 result: , param:5000-111:-27.0500000000000
2023-07-12 16:55:16 result: , param:5000-111:-34.2400000000000
2023-07-12 16:55:18 result: , param:5000-111:-33.9800000000000
2023-07-12 16:55:20 result: , param:5000-111:-33.9700000000000
2023-07-12 16:55:22 result: , param:5000-111:-33.9700000000000
2023-07-12 16:55:24 result: , param:5000-111:-29.3500000000000
2023-07-12 16:55:26 result: , param:5000-111:-28.5600000000000
2023-07-12 16:55:28 result: , param:5000-111:-28.5600000000000
2023-07-12 16:55:30 result: , param:5000-111:-28.5600000000000
2023-07-12 16:55:32 result: , param:5000-111:-33.0000000000000
2023-07-12 16:55:34 result: , param:5000-111:-32.5500000000000
2023-07-12 16:55:36 result: , param:5000-111:-32.5500000000000
2023-07-12 16:55:38 result: , param:5000-111:-29.6000000000000
2023-07-12 16:55:40 result: , param:5000-111:-25.5800000000000
2023-07-12 16:55:42 result: , param:5000-111:-34.7300000000000
2023-07-12 16:55:44 result: , param:5000-111:-29.5900000000000
2023-07-12 16:55:46 result: , param:5000-111:-22.6900000000000
2023-07-12 16:55:48 result: , param:5000-111:-19.3500000000000
2023-07-12 16:55:50 result: , param:5000-111:-16.3200000000000
2023-07-12 16:55:52 result: , param:5000-111:-16.3200000000000
2023-07-12 16:55:54 result: , param:5000-111:-16.3200000000000
2023-07-12 16:55:56 result: , param:5000-111:-20.5300000000000
2023-07-12 16:55:58 result: , param:5000-111:-23.4700000000000
2023-07-12 16:56:00 result: , param:5000-111:-23.4700000000000
