2023-06-16 00:00:01 result: , param:10000-111:-692.0900000000000
2023-06-16 00:00:05 result: , param:10000-111:-679.4700000000000
2023-06-16 00:00:07 result: , param:10000-111:-679.4700000000000
2023-06-16 00:00:09 result: , param:10000-111:-678.0300000000000
2023-06-16 00:00:11 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:13 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:15 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:17 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:19 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:21 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:23 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:25 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:27 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:29 result: , param:10000-111:-666.3500000000000
2023-06-16 00:00:31 result: , param:10000-111:-653.1300000000000
2023-06-16 00:00:33 result: , param:10000-111:-653.1300000000000
2023-06-16 00:00:35 result: , param:10000-111:-653.1300000000000
2023-06-16 00:00:37 result: , param:10000-111:-653.1300000000000
2023-06-16 00:00:39 result: , param:10000-111:-653.1300000000000
2023-06-16 00:00:41 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:43 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:45 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:47 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:49 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:51 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:53 result: , param:10000-111:-659.4700000000000
2023-06-16 00:00:55 result: , param:10000-111:-666.2700000000000
2023-06-16 00:00:57 result: , param:10000-111:-666.2700000000000
2023-06-16 00:00:59 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:01 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:03 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:05 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:07 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:09 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:11 result: , param:10000-111:-666.2900000000000
2023-06-16 00:01:13 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:15 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:17 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:19 result: , param:10000-111:-684.9500000000000
2023-06-16 00:01:21 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:23 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:25 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:27 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:29 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:31 result: , param:10000-111:-684.9500000000000
2023-06-16 00:01:33 result: , param:10000-111:-684.9500000000000
2023-06-16 00:01:35 result: , param:10000-111:-684.9700000000000
2023-06-16 00:01:37 result: , param:10000-111:-684.9700000000000
