2023-06-28 00:00:00 result: , param:15068.59-111:6677.6000000000000
2023-06-28 00:00:04 result: , param:15068.59-111:6677.6000000000000
2023-06-28 00:00:06 result: , param:15068.59-111:6677.6000000000000
2023-06-28 00:00:08 result: , param:15068.59-111:6732.6000000000000
2023-06-28 00:00:10 result: , param:15068.59-111:6732.6000000000000
2023-06-28 00:00:12 result: , param:15068.59-111:6732.6000000000000
2023-06-28 00:00:14 result: , param:15068.59-111:6694.2000000000000
2023-06-28 00:00:16 result: , param:15068.59-111:6694.4000000000000
2023-06-28 00:00:18 result: , param:15068.59-111:6694.5000000000000
2023-06-28 00:00:21 result: , param:15068.59-111:6740.7000000000000
2023-06-28 00:00:23 result: , param:15068.59-111:6740.6000000000000
2023-06-28 00:00:25 result: , param:15068.59-111:6740.7000000000000
2023-06-28 00:00:27 result: , param:15068.59-111:6740.7000000000000
2023-06-28 00:00:29 result: , param:15068.59-111:6740.6000000000000
2023-06-28 00:00:31 result: , param:15068.59-111:6689.6000000000000
2023-06-28 00:00:33 result: , param:15068.59-111:6638.5000000000000
2023-06-28 00:00:35 result: , param:15068.59-111:6638.6000000000000
2023-06-28 00:00:37 result: , param:15068.59-111:6690.3000000000000
2023-06-28 00:00:39 result: , param:15068.59-111:6687.9000000000000
2023-06-28 00:00:41 result: , param:15068.59-111:6657.6000000000000
2023-06-28 00:00:43 result: , param:15068.59-111:6657.6000000000000
2023-06-28 00:00:45 result: , param:15068.59-111:6657.5000000000000
2023-06-28 00:00:47 result: , param:15068.59-111:6636.1000000000000
2023-06-28 00:00:49 result: , param:15068.59-111:6636.1000000000000
2023-06-28 00:00:51 result: , param:15068.59-111:6636.1000000000000
2023-06-28 00:00:53 result: , param:15068.59-111:6565.8000000000000
2023-06-28 00:00:55 result: , param:15068.59-111:6522.4000000000000
2023-06-28 00:00:57 result: , param:15068.59-111:6498.6000000000000
2023-06-28 00:00:59 result: , param:15068.59-111:6427.7000000000000
2023-06-28 00:01:01 result: , param:15068.59-111:6427.9000000000000
2023-06-28 00:01:03 result: , param:15068.59-111:6427.8000000000000
