2023-07-13 00:00:00 result: , param:5000-111:-156.4200000000000
2023-07-13 00:00:02 result: , param:5000-111:-156.4200000000000
2023-07-13 00:00:05 result: , param:5000-111:-156.4200000000000
2023-07-13 00:00:07 result: , param:5000-111:-156.4200000000000
2023-07-13 00:00:09 result: , param:5000-111:-156.4200000000000
2023-07-13 00:00:11 result: , param:5000-111:-162.4900000000000
2023-07-13 00:00:13 result: , param:5000-111:-162.4900000000000
2023-07-13 00:00:15 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:17 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:19 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:21 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:23 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:25 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:27 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:29 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:31 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:33 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:35 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:37 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:39 result: , param:5000-111:-166.0500000000000
2023-07-13 00:00:41 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:43 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:45 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:47 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:49 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:51 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:53 result: , param:5000-111:-166.0400000000000
2023-07-13 00:00:55 result: , param:5000-111:-166.5500000000000
2023-07-13 00:00:57 result: , param:5000-111:-166.5500000000000
2023-07-13 00:00:59 result: , param:5000-111:-166.5500000000000
2023-07-13 00:01:01 result: , param:5000-111:-166.5500000000000
2023-07-13 00:01:03 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:05 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:07 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:09 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:11 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:13 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:15 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:17 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:19 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:21 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:23 result: , param:5000-111:-166.5400000000000
2023-07-13 00:01:25 result: , param:5000-111:-163.6000000000000
