2023-06-30 00:00:00 result: , param:15068.59-111:3099.1000000000000
2023-06-30 00:00:02 result: , param:15068.59-111:3077.5000000000000
2023-06-30 00:00:07 result: , param:15068.59-111:3147.3000000000000
2023-06-30 00:00:09 result: , param:15068.59-111:3167.7000000000000
2023-06-30 00:00:11 result: , param:15068.59-111:3233.6000000000000
2023-06-30 00:00:13 result: , param:15068.59-111:3233.6000000000000
2023-06-30 00:00:15 result: , param:15068.59-111:3233.6000000000000
2023-06-30 00:00:17 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:19 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:21 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:23 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:25 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:27 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:29 result: , param:15068.59-111:3272.6000000000000
2023-06-30 00:00:31 result: , param:15068.59-111:3245.2000000000000
2023-06-30 00:00:33 result: , param:15068.59-111:3245.1000000000000
2023-06-30 00:00:35 result: , param:15068.59-111:3148.1000000000000
2023-06-30 00:00:37 result: , param:15068.59-111:3161.4000000000000
2023-06-30 00:00:39 result: , param:15068.59-111:3161.4000000000000
2023-06-30 00:00:41 result: , param:15068.59-111:3218.8000000000000
2023-06-30 00:00:43 result: , param:15068.59-111:3258.8000000000000
2023-06-30 00:00:45 result: , param:15068.59-111:3258.8000000000000
2023-06-30 00:00:47 result: , param:15068.59-111:3258.8000000000000
2023-06-30 00:00:49 result: , param:15068.59-111:3226.8000000000000
2023-06-30 00:00:51 result: , param:15068.59-111:3226.8000000000000
2023-06-30 00:00:53 result: , param:15068.59-111:3226.8000000000000
2023-06-30 00:00:55 result: , param:15068.59-111:3220.8000000000000
2023-06-30 00:00:57 result: , param:15068.59-111:3137.5000000000000
2023-06-30 00:00:59 result: , param:15068.59-111:3137.5000000000000
2023-06-30 00:01:01 result: , param:15068.59-111:3137.5000000000000
2023-06-30 00:01:03 result: , param:15068.59-111:3063.1000000000000
2023-06-30 00:01:05 result: , param:15068.59-111:3063.2000000000000
2023-06-30 00:01:07 result: , param:15068.59-111:3063.2000000000000
2023-06-30 00:01:09 result: , param:15068.59-111:3063.2000000000000
2023-06-30 00:01:11 result: , param:15068.59-111:3073.4000000000000
2023-06-30 00:01:13 result: , param:15068.59-111:3014.2000000000000
2023-06-30 00:01:15 result: , param:15068.59-111:3014.2000000000000
2023-06-30 00:01:17 result: , param:15068.59-111:2998.6000000000000
2023-06-30 00:01:19 result: , param:15068.59-111:2948.1000000000000
2023-06-30 00:01:21 result: , param:15068.59-111:2948.1000000000000
2023-06-30 00:01:23 result: , param:15068.59-111:3063.7000000000000
2023-06-30 00:01:25 result: , param:15068.59-111:3086.6000000000000
2023-06-30 00:01:27 result: , param:15068.59-111:3086.6000000000000
2023-06-30 00:01:29 result: , param:15068.59-111:3086.6000000000000
2023-06-30 00:01:31 result: , param:15068.59-111:3086.6000000000000
2023-06-30 00:01:33 result: , param:15068.59-111:3086.6000000000000
2023-06-30 00:01:35 result: , param:15068.59-111:3094.5000000000000
2023-06-30 00:01:37 result: , param:15068.59-111:3094.5000000000000
2023-06-30 00:01:39 result: , param:15068.59-111:3137.7000000000000
2023-06-30 00:01:41 result: , param:15068.59-111:3182.6000000000000
2023-06-30 00:01:43 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:01:45 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:01:47 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:01:49 result: , param:15068.59-111:3227.6000000000000
2023-06-30 00:01:51 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:01:53 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:01:55 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:01:58 result: , param:15068.59-111:3227.7000000000000
2023-06-30 00:02:00 result: , param:15068.59-111:3232.7000000000000
2023-06-30 00:02:02 result: , param:15068.59-111:3232.7000000000000
2023-06-30 00:02:04 result: , param:15068.59-111:3242.7000000000000
2023-06-30 00:02:06 result: , param:15068.59-111:3242.7000000000000
2023-06-30 00:02:08 result: , param:15068.59-111:3242.7000000000000
2023-06-30 00:02:10 result: , param:15068.59-111:3247.7000000000000
